input list	entrez ID	Pearson correlation with query gene
IKBKE	56489	-0.302
BDH1	71911	0.3446
SOCS3	12702	-0.2543
ACSS2	60525	-0.1268
PDK1	228026	-0.0378
LPIN1	14245	-0.2597
DNAJC15	66148	-0.0531
PFKM	18642	0.1712
TRIM32	69807	0.4422
SOCS1	12703	-0.1085
CAPN2	12334	0.0147
GSTK1	76263	-0.0209
SLC11A2	18174	0.2826
GALM	319625	0.2355
ABCB9	56325	0.1004
ABCA2	11305	-0.1889
KLHL9	242521	0.0296
LDHB	16832	0.2452
LDHA	16828	0.4939
IDH2	269951	0.0486
SEC24D	69608	0.1126
HIGD2A	67044	-0.0776
TSPO	12257	-0.1446
SLC25A23	66972	-0.1267
MRPL52	68836	0.2309
ATP5J	11957	0.4837
PRKCSH	19089	0.2438
SYNJ2	20975	-0.0183
ACAA2	52538	-0.0019
GLRX5	73046	0.4866
ACADS	11409	-0.0642
ASL	109900	0.1342
RAB32	67844	0.1298
SUOX	211389	-0.0781
ALDH18A1	56454	0.4432
NME4	56520	0.1539
SLC25A13	50799	0.5053
SLC25A4	11739	0.393
1600014C10RIK	72244	-0.0548
MDH2	17448	0.5668
HK1	15275	0.1146
P2RX7	18439	0.0853
NME2	18103	0.3195
PDHA1	18597	0.2763
ARL6IP5	65106	-0.1749
SRGAP2	14270	-0.04
ATP5D	66043	0.2049
PSMB8	16913	0.1522
MRPS6	121022	0.4064
ABCG1	11307	-0.285
SHMT2	108037	0.4586
PPA1	67895	0.6782
ABCC5	27416	-0.0162
SPNS1	73658	0.0574
ABCG2	26357	0.3209
ATP5G2	67942	0.0711
NDUFA8	68375	0.3864
MOGS	57377	0.5538
CAPN1	12333	-0.1783
ANAPC11	66156	0.173
COX7A2L	20463	-0.3919
MYC	17869	0.3322
PSMB3	26446	0.331
BCL2L1	12048	0.2074
ATP6V0A2	21871	0.1506
MAN1C1	230815	-0.1353
PSME1	19186	-0.0509
NDUFA1	54405	0.0264
PSMB9	16912	-0.009
TYMS	22171	0.5651
PSMB10	19171	-0.0992
ATP6V1D	73834	0.0074
NDUFA10	67273	0.1572
MRPL12	56282	0.582
TAP2	21355	-0.0985
HSD17B10	15108	0.2884
FDPS	110196	0.3431
LDHD	52815	-0.1682
UQCRC1	22273	0.3849
PEBP1	23980	0.5888
SMDT1	69029	0.0988
ENO1	13806	0.3656
UQCR11	66594	0.4071
DNAJC3	100037258	0.2135
HSPA1A	193740	0.1121
GLRX2	69367	0.3932
COX10	70383	0.4473
GLRX	93692	-0.0663
OPRD1	18386	-0.1578
AKAP1	11640	0.5757
QTRT1	60507	0.2385
NDUFS6	407785	0.4094
UBE2E2	218793	0.1386
SMURF1	75788	-0.0969
NDUFA4	17992	0.4504
SLC25A40	319653	0.2887
ATP5J2	57423	0.3766
COX8A	12868	-0.084
NDUFA4L2	407790	-0.141
SSR2	66256	0.4592
